NOME,E-MAIL,TELEFONE,ENDEREÇO,DATA DE NASCIMENTO
Maitê Reis,Maite.Reis@estudante.ifms.edu.br,(67) 07087-9594,7404 Alice Alameda Lote 18,Sat May 03 1986
Sophia Nogueira,Sophia.Nogueira99@estudante.ifms.edu.br,(18) 7834-6551,24101 Carvalho Marginal Lote 94,Sat Feb 13 2010
Washington Moraes,Washington.Moraes@estudante.ifms.edu.br,(49) 3272-9812,3460 Macedo Alameda Sobrado 64,Tue Mar 08 1994
Isis Xavier,Isis.Xavier@estudante.ifms.edu.br,(24) 14882-6422,6029 Bernardo Avenida Quadra 94,Tue Oct 19 1971
Pedro Henrique Braga,PedroHenrique_Braga14@estudante.ifms.edu.br,(95) 80062-5531,2435 Reis Avenida Casa 4,Fri May 06 1988
Sílvia Saraiva,Silvia_Saraiva@estudante.ifms.edu.br,(36) 40864-3598,685 Albuquerque Travessa Sobrado 69,Fri Jul 24 2009
Yago Saraiva,Yago_Saraiva@estudante.ifms.edu.br,(99) 17754-1405,80334 Arthur Rodovia Apto. 575,Thu Nov 20 1997
Bryan Melo,Bryan_Melo@estudante.ifms.edu.br,(37) 67882-6107,213 Joaquim Avenida Lote 31,Sun Oct 28 1984
Beatriz Reis,Beatriz_Reis@estudante.ifms.edu.br,(87) 1745-9236,219 Maria Eduarda Alameda Lote 53,Thu May 31 1973
Davi Batista,Davi.Batista75@estudante.ifms.edu.br,(85) 59629-9645,801 Margarida Rua Apto. 395,Mon Nov 21 2005
Liz Batista,Liz_Batista@estudante.ifms.edu.br,(53) 18544-4206,850 Henrique Travessa Quadra 84,Fri Oct 02 1998
Manuela Macedo,Manuela_Macedo@estudante.ifms.edu.br,(68) 8821-6226,45243 Sara Travessa Lote 41,Sat Jun 05 1971
Benício Pereira,Benicio.Pereira26@estudante.ifms.edu.br,(62) 7866-9686,49697 Xavier Rua Apto. 839,Wed Dec 13 2006
Rafaela Barros,Rafaela.Barros@estudante.ifms.edu.br,(12) 1540-6682,1840 Martins Travessa Casa 1,Fri Jun 13 1997
Mariana Xavier,Mariana_Xavier@estudante.ifms.edu.br,(94) 6629-9647,67706 Maria Cecília Alameda Casa 4,Mon Nov 23 1970
Dalila Pereira,Dalila.Pereira26@estudante.ifms.edu.br,(87) 0079-4371,42911 Maria Júlia Rua Apto. 531,Mon Jan 23 1978
Rebeca Macedo,Rebeca_Macedo47@estudante.ifms.edu.br,(12) 34034-1016,6937 Costa Marginal Casa 3,Sat Dec 30 1978
Clara Silva,Clara_Silva31@estudante.ifms.edu.br,(34) 7356-8909,4928 Maria Helena Rodovia Apto. 708,Thu Jun 27 2002
Alice Costa,Alice.Costa@estudante.ifms.edu.br,(89) 56218-6555,91887 Macedo Alameda Sobrado 96,Tue Apr 24 2007
Maria Clara Moreira,MariaClara.Moreira@estudante.ifms.edu.br,(92) 85378-5999,8870 Nogueira Alameda Sobrado 95,Sun Jul 25 1999
João Braga,Joao.Braga@estudante.ifms.edu.br,(25) 4516-7753,73219 Valentina Alameda Lote 81,Thu Apr 03 1980
Elisa Barros,Elisa_Barros@estudante.ifms.edu.br,(40) 83686-2674,201 Martins Travessa Sobrado 24,Sun Jul 14 2002
Benjamin Barros,Benjamin_Barros25@estudante.ifms.edu.br,(90) 8070-2642,9959 Marcelo Marginal Sobrado 19,Sun Nov 29 1970
Hugo Melo,Hugo.Melo40@estudante.ifms.edu.br,(32) 0441-2935,12139 Carvalho Rua Casa 3,Wed Jan 05 1977
Laura Costa,Laura_Costa@estudante.ifms.edu.br,(88) 6395-3373,49602 Ana Luiza Rodovia Casa 3,Mon Oct 27 2008
Antonella Silva,Antonella.Silva@estudante.ifms.edu.br,(59) 02265-9988,8768 Luiza Alameda Casa 6,Wed Apr 09 1986
Paulo Xavier,Paulo_Xavier@estudante.ifms.edu.br,(74) 76023-9704,297 Henrique Marginal Sobrado 52,Thu Feb 13 1975
Ana Clara Moraes,AnaClara.Moraes@estudante.ifms.edu.br,(08) 7209-1709,492 Franco Rua Casa 8,Mon Oct 18 1993
Sirineu Santos,Sirineu.Santos@estudante.ifms.edu.br,(81) 8518-5072,60485 Oliveira Marginal Quadra 66,Tue Nov 09 1976
Fabrício Santos,Fabricio_Santos@estudante.ifms.edu.br,(23) 88967-1824,633 Carvalho Travessa Quadra 61,Tue Jan 22 1974
Marcela Costa,Marcela.Costa@estudante.ifms.edu.br,(25) 2654-8509,872 Eduarda Avenida Lote 64,Mon Oct 26 1987
Enzo Gabriel Oliveira,EnzoGabriel_Oliveira@estudante.ifms.edu.br,(79) 56899-8584,5073 Reis Travessa Apto. 362,Fri Jun 13 1980
Carlos Batista,Carlos_Batista28@estudante.ifms.edu.br,(04) 22618-1381,937 Macedo Travessa Quadra 92,Tue Dec 31 1991
Esther Reis,Esther.Reis22@estudante.ifms.edu.br,(80) 76091-5185,221 Albuquerque Travessa Casa 7,Fri Dec 26 1986
Davi Costa,Davi.Costa@estudante.ifms.edu.br,(42) 51549-6778,788 Isis Rodovia Casa 9,Sat Jan 10 1987
Hugo Moreira,Hugo.Moreira84@estudante.ifms.edu.br,(06) 5277-1022,87010 Costa Travessa Sobrado 28,Fri Dec 05 1986
Luiza Franco,Luiza.Franco33@estudante.ifms.edu.br,(62) 6913-1425,18881 Xavier Avenida Lote 68,Sun Nov 20 2005
Warley Saraiva,Warley.Saraiva67@estudante.ifms.edu.br,(98) 02656-3733,68114 Nogueira Avenida Lote 99,Sun Jun 16 2002
Márcia Souza,Marcia_Souza69@estudante.ifms.edu.br,(76) 5528-4685,427 Ricardo Alameda Sobrado 58,Mon Jan 17 1994
Larissa Moreira,Larissa.Moreira@estudante.ifms.edu.br,(60) 94453-7492,7702 Moraes Travessa Lote 79,Sun Jan 03 1982
Miguel Reis,Miguel.Reis55@estudante.ifms.edu.br,(55) 2306-5610,1746 Martins Rua Lote 13,Sat May 30 1981
Melissa Moreira,Melissa.Moreira@estudante.ifms.edu.br,(40) 3233-8647,41892 Nogueira Marginal Casa 4,Mon Jan 03 1994
Núbia Moraes,Nubia.Moraes64@estudante.ifms.edu.br,(89) 45288-7721,613 Théo Rodovia Sobrado 50,Sat Apr 17 2004
Hugo Pereira,Hugo.Pereira30@estudante.ifms.edu.br,(98) 2902-5768,648 Miguel Marginal Apto. 664,Mon Jul 14 2008
Bernardo Batista,Bernardo_Batista91@estudante.ifms.edu.br,(53) 9721-7537,6127 Oliveira Alameda Casa 8,Mon May 08 1972
Eduarda Moreira,Eduarda_Moreira1@estudante.ifms.edu.br,(64) 9351-7008,11808 Tertuliano Avenida Sobrado 95,Sat Oct 18 1986
Helena Batista,Helena_Batista49@estudante.ifms.edu.br,(58) 6993-1434,8421 Batista Marginal Casa 3,Thu Oct 23 1997
Ofélia Franco,Ofelia_Franco@estudante.ifms.edu.br,(51) 2630-2411,49229 Braga Rua Apto. 601,Thu Mar 13 2008
Marli Reis,Marli_Reis@estudante.ifms.edu.br,(87) 2523-2481,533 Miguel Avenida Sobrado 67,Tue Nov 09 2004
Isis Pereira,Isis.Pereira@estudante.ifms.edu.br,(87) 8436-0820,78480 Margarida Rua Sobrado 14,Wed May 20 1998
Benício Reis,Benicio.Reis@estudante.ifms.edu.br,(99) 2640-0852,653 Albuquerque Avenida Quadra 49,Mon Nov 27 2000
Pietro Oliveira,Pietro.Oliveira23@estudante.ifms.edu.br,(96) 93087-9060,430 Esther Travessa Casa 6,Fri Mar 11 1983
Ana Luiza Pereira,AnaLuiza_Pereira@estudante.ifms.edu.br,(74) 26637-8962,931 Maria Júlia Rua Apto. 800,Wed Mar 18 1992
Norberto Souza,Norberto.Souza46@estudante.ifms.edu.br,(08) 8167-0175,9451 Albuquerque Rodovia Casa 9,Thu Apr 13 1989
Lorraine Costa,Lorraine_Costa38@estudante.ifms.edu.br,(49) 27365-0621,3806 Souza Travessa Quadra 84,Fri Feb 17 1995
Benjamin Moraes,Benjamin.Moraes97@estudante.ifms.edu.br,(27) 6340-0605,892 Albuquerque Marginal Sobrado 87,Fri May 15 1981
Maria Alice Braga,MariaAlice_Braga@estudante.ifms.edu.br,(01) 5254-6554,406 Yago Marginal Casa 9,Thu Oct 28 1971
Pedro Xavier,Pedro_Xavier@estudante.ifms.edu.br,(39) 0143-2309,6309 Costa Alameda Apto. 721,Fri Jan 28 2000
Larissa Franco,Larissa_Franco@estudante.ifms.edu.br,(73) 62098-6794,763 Marina Alameda Apto. 829,Mon Dec 01 1975
Isabella Albuquerque,Isabella.Albuquerque@estudante.ifms.edu.br,(08) 7411-6455,9025 Pereira Travessa Sobrado 87,Tue Oct 09 1984
Gael Martins,Gael.Martins@estudante.ifms.edu.br,(89) 8091-4471,493 Souza Rodovia Casa 7,Wed Aug 08 2001
Gúbio Martins,Gubio_Martins89@estudante.ifms.edu.br,(33) 9048-2336,68655 Moreira Rua Lote 61,Wed Mar 21 1984
Ladislau Melo,Ladislau_Melo31@estudante.ifms.edu.br,(18) 48983-9383,4421 Danilo Avenida Casa 4,Fri Jan 19 2007
Karla Silva,Karla_Silva@estudante.ifms.edu.br,(90) 8283-3283,8420 Heitor Travessa Lote 31,Mon Aug 11 1997
Davi Lucca Moreira,DaviLucca.Moreira@estudante.ifms.edu.br,(25) 3159-1763,87925 Macedo Avenida Apto. 671,Sat Nov 20 1999
Benício Macedo,Benicio_Macedo@estudante.ifms.edu.br,(62) 60201-6668,5190 João Miguel Avenida Apto. 497,Tue Jul 14 1981
Eloá Souza,Eloa_Souza@estudante.ifms.edu.br,(71) 6595-2886,82927 Batista Alameda Lote 13,Wed May 27 1998
Sara Pereira,Sara_Pereira@estudante.ifms.edu.br,(33) 05288-2146,474 Pietro Marginal Lote 24,Fri Mar 16 1979
Núbia Nogueira,Nubia_Nogueira@estudante.ifms.edu.br,(04) 84577-5381,936 Carvalho Rodovia Lote 32,Sat Jul 01 1972
Félix Macedo,Felix_Macedo@estudante.ifms.edu.br,(32) 32217-6537,8079 Kléber Rodovia Casa 3,Tue Aug 09 1983
Vitória Pereira,Vitoria_Pereira4@estudante.ifms.edu.br,(33) 3982-3938,862 Yago Rodovia Quadra 31,Thu Jul 23 1981
Leonardo Moreira,Leonardo.Moreira@estudante.ifms.edu.br,(32) 06170-7034,7223 Manuela Rodovia Quadra 56,Fri Nov 21 1986
Raul Souza,Raul.Souza@estudante.ifms.edu.br,(51) 17705-7221,8144 Macedo Marginal Quadra 11,Sun Dec 17 1978
Emanuel Silva,Emanuel.Silva57@estudante.ifms.edu.br,(99) 3819-3230,46019 Reis Rua Apto. 663,Sun Sep 01 1991
Isaac Melo,Isaac.Melo38@estudante.ifms.edu.br,(03) 21014-0451,9242 Carvalho Avenida Apto. 628,Sun Oct 27 2002
Beatriz Souza,Beatriz_Souza@estudante.ifms.edu.br,(24) 94084-2767,67914 Melo Rodovia Apto. 321,Wed Aug 10 1994
Giovanna Braga,Giovanna.Braga@estudante.ifms.edu.br,(12) 96544-5383,1366 Warley Rodovia Apto. 202,Wed Jun 21 2006
Frederico Franco,Frederico_Franco11@estudante.ifms.edu.br,(95) 0030-7188,5847 Moreira Travessa Lote 96,Fri Aug 04 2006
Natália Xavier,Natalia_Xavier@estudante.ifms.edu.br,(21) 10657-1225,5970 Braga Rodovia Apto. 795,Thu Feb 13 2003
Bruna Albuquerque,Bruna_Albuquerque82@estudante.ifms.edu.br,(13) 1476-4765,4802 Isaac Rodovia Quadra 50,Fri Jun 12 1992
Alice Moraes,Alice_Moraes@estudante.ifms.edu.br,(75) 4786-6565,67961 Moraes Avenida Sobrado 70,Mon Jun 02 2003
Sophia Costa,Sophia.Costa@estudante.ifms.edu.br,(57) 50258-5067,8437 Cecília Rodovia Casa 9,Tue Feb 13 1973
Félix Pereira,Felix.Pereira@estudante.ifms.edu.br,(06) 9730-3444,882 Macedo Alameda Casa 9,Sun Nov 17 1985
